Ticker,Company,Aliases
MPC,Marathon Petroleum,"['Marathon oil company', 'Marathon Petroleum']"
MKTX,MarketAxess,['MarketAxess']
MAR,Marriott International,"['Marriott', 'Marriott International, Inc.', 'Marriott International Inc', 'Marriott International']"
MMC,Marsh McLennan,['Marsh McLennan']
MLM,Martin Marietta Materials,"['Martin Marietta', 'Martin Marietta Materials']"
MAS,Masco,['Masco']
MA,Mastercard,"['MasterCard Incorporated', 'MasterCard Worldwide', 'MasterCard', 'MASTERCARD INTERNATIONAL INCORPORATED (Purchase, NY)']"
MTCH,Match Group,"['Match Group, Inc.', 'Match']"
MKC,McCormick & Company,"['McCormick', 'McCormick & Company, Incorporated', 'McCormick & Company, Inc.', 'McCormick & Company']"
MCD,McDonald's,"['McD', 'Mcdonalds', ""McDonald's Corporation"", ""McDonald's Restaurant"", ""McDonald's"", 'McDonald', ""Mickey D's"", 'McDo', ""Macca's"", 'Maccas']"
MCK,McKesson Corporation,"['McKesson Health Solutions', 'McKesson']"
MDT,Medtronic,"['MDT', 'Medtronic', 'Medtronic Inc', 'Medtronic - MITG']"
MRK,Merck & Co.,"['MSD', 'Merck Sharp & Dohme', 'Merck Sharp & Dohme Corp.', 'MRK', 'Merck &']"
META,Meta Platforms,"['Facebook, Inc.', 'Meta', 'TheFacebook, Inc.', 'TheFacebook', 'Meta Platforms, Inc.', 'Meta Platforms']"
MET,MetLife,"['Metropolitan Life Insurance Company', 'MetLife, Inc.', 'Metropolitan', 'Metropolitan Insurance Company', 'MetLife']"
MTD,Mettler Toledo,['Mettler Toledo']
MGM,MGM Resorts,"['MGM', 'Metro Goldwyn Mayer', 'MGM Resorts']"
MCHP,Microchip Technology,"['Microchip Technology Inc.', 'Microchip Technology']"
MU,Micron Technology,"['Micron Technology, Inc.', 'Micron', 'Micron Technology']"
MSFT,Microsoft,"['MS', 'Microsoft Corp.', 'Micro-Soft', 'Microsoft']"
MAA,Mid-America Apartment Communities,['Mid-America Apartment Communities']
MRNA,Moderna,"['Moderna, Inc.', 'Moderna Therapeutics', 'Moderna Therapeutics, Inc.', 'Moderna']"
MHK,Mohawk Industries,['Mohawk Industries']
MOH,Molina Healthcare,['Molina Healthcare']
TAP,Molson Coors Beverage Company,['Molson Coors Beverage Company']
MDLZ,Mondelez International,"['Mondelez International, Inc.', 'National Dairy Products', 'Mondelez', 'Mondelēz International', 'Mondelez International']"
MPWR,Monolithic Power Systems,['Monolithic Power Systems']
MNST,Monster Beverage,"['Monster Beverage Corp', 'clothing gear apparel', 'Monster Beverage']"
MCO,Moody's Corporation,"[""Moody's""]"
MS,Morgan Stanley,"['MorganStanley', 'Morgan Stanley & Co.', 'Morgan Stanley']"
MOS,Mosaic Company (The),['Mosaic Company ()']
MSI,Motorola Solutions,"['Motorola Solutions, Inc.', 'Motorola', 'Motorola Solutions']"
MSCI,MSCI Inc.,"['MSCI Inc.', 'Morgan Stanley Capital International', 'MSCI Barra', 'MSCI']"
NDAQ,"Nasdaq, Inc.","['The NASDAQ OMX Group, Inc.', 'National Association of Securities Dealers Automated Quotations', 'Nasdaq Inc.', 'Nasdaq']"
NTAP,NetApp,"['NetApp, Inc.', 'NetApp']"
NFLX,Netflix,['Netflix']
NEM,Newmont,"['Newmont Corporation', 'Newmont']"
NWSA,News Corp (Class A),"['NWSA', 'News (Class A)']"
NWS,News Corp (Class B),['News (Class B)']
NEE,NextEra Energy,['NextEra Energy']
NKE,"Nike, Inc.","['Blue Ribbon Sports', 'Nike Inc.', 'Nike, Inc.', 'https://www.nike.com/', 'www.nike.com/', 'nike.com/', 'Nike']"
NI,NiSource,['NiSource']
NDSN,Nordson Corporation,['Nordson']
NSC,Norfolk Southern,"['NS', 'Norfolk Southern Railway Company', 'Norfolk Southern']"
NTRS,Northern Trust,"['Northern Trust Corporation', 'Northern Trust']"
NOC,Northrop Grumman,"['Northrop Grumman Corporation', 'Northrop', 'Northrop Grumman']"
NCLH,Norwegian Cruise Line Holdings,"['Norwegian Cruise Line Holdings', 'NCLH']"
NRG,NRG Energy,"['NRG Energy, Inc.', 'NRG', 'NRG Energy']"
NUE,Nucor,"['Nuclear Corporation of America', 'Nucor']"
NVDA,Nvidia,"['Nvidia Corporation', 'Nvidia Corp.', 'NVDA', 'nVidia', 'NVIDIA']"
NVR,"NVR, Inc.",['NVR']
NXPI,NXP Semiconductors,['NXP Semiconductors']
ORLY,O’Reilly Automotive,"['O’Reilly Automotive Inc.', 'O’Reilly Automotive']"
OXY,Occidental Petroleum,"['Occidental Petroleum Corporation', 'Oxy', 'Occidental Petroleum']"
ODFL,Old Dominion,"['ODFL', 'Old Dominion']"
OMC,Omnicom Group,"['Omnicom', 'Omnicom Group Inc']"
ON,ON Semiconductor,"['Mietec', 'Alcatel Microelectronics', 'AMI Semiconductor', 'onsemi', 'ON Semiconductor Corporation', 'ON Semiconductor']"
OKE,Oneok,"['Oklahoma Natural Gas Company', 'Oneok, Inc', 'Oneok']"
ORCL,Oracle Corporation,"['Oracle Corporation', 'Big Red', 'Oracle International Corporation (Redwood Shores, CA)', 'ORCL', 'oracle.com', 'Oracle']"
OTIS,Otis Worldwide,"['Otis', 'Otis Worldwide']"
PCAR,Paccar,['Paccar']
